hash_inn,y
0,23
2,12
4,12
6,12
9,12
12,12
15,12
19,12
22,12
38,12
43,11
60,34
71,12
72,12
73,12
78,11
79,12
85,12
87,12
93,14
97,14
98,12
99,12
110,12
116,12
118,12
122,12
124,12
126,14
127,12
136,12
137,12
139,12
140,34
144,12
147,12
149,12
150,12
151,12
159,34
161,12
162,34
164,12
165,12
170,12
171,12
178,14
180,12
181,12
187,12
195,12
198,14
199,12
200,12
202,12
203,34
208,12
213,12
214,12
219,12
223,12
226,12
227,12
233,12
234,12
236,12
237,14
238,12
239,12
242,12
243,12
245,12
246,3
248,12
253,12
260,12
261,34
263,12
268,12
269,34
270,12
280,12
282,14
288,12
290,12
291,12
292,12
293,12
294,12
296,14
297,12
303,12
304,12
312,12
315,12
318,12
322,12
324,12
326,12
329,12
336,12
341,12
350,29
351,12
353,12
356,12
357,12
358,12
360,12
362,12
363,12
366,12
373,12
374,12
375,12
378,12
386,12
389,12
393,12
396,12
397,12
399,12
401,14
408,34
411,12
413,12
415,12
416,12
423,12
424,12
425,12
438,34
439,12
443,12
444,12
446,12
456,12
460,12
462,12
472,12
476,12
477,12
478,12
479,12
485,14
487,12
488,12
489,12
492,12
493,34
495,12
502,12
503,12
505,12
506,12
509,12
517,12
522,12
525,6
528,12
533,12
538,12
540,12
542,12
544,12
561,12
562,12
565,12
569,14
575,12
584,12
586,12
588,12
590,34
592,12
595,12
608,12
615,14
616,12
621,12
623,12
625,12
628,14
630,12
633,12
636,12
637,12
640,12
642,34
646,12
649,12
652,12
653,14
655,12
656,12
666,12
669,12
670,12
671,52
675,12
676,12
677,12
679,12
684,12
685,12
689,12
691,12
692,12
693,12
695,34
696,14
700,34
701,12
702,12
703,12
705,12
713,12
715,12
718,12
720,12
722,12
724,12
726,12
727,12
728,12
730,12
731,12
732,12
734,12
735,12
737,6
741,12
749,34
751,14
752,12
753,12
755,14
765,12
768,12
773,12
780,12
782,14
783,12
785,12
790,12
791,12
794,12
799,12
807,12
808,12
816,12
818,12
819,12
821,34
833,12
838,34
840,12
841,12
843,12
844,12
847,12
851,12
855,12
856,12
857,11
858,52
861,12
862,12
866,14
877,12
883,12
887,12
888,12
893,12
894,12
896,12
900,12
902,12
903,12
904,12
910,12
913,12
916,6
925,12
927,12
928,12
930,12
935,12
936,12
940,12
941,52
946,12
947,12
951,12
952,12
956,12
966,34
970,12
971,12
984,14
987,12
988,12
991,34
992,12
996,12
997,12
998,12
1001,34
1004,12
1006,12
1007,12
1009,12
1011,12
1015,12
1021,12
1025,12
1027,12
1031,12
1033,12
1035,12
1047,12
1051,12
1053,12
1054,12
1058,12
1060,12
1061,12
1066,52
1075,12
1076,14
1078,12
1084,12
1088,12
1091,14
1092,34
1093,12
1094,14
1095,55
1097,34
1098,12
1099,12
1101,12
1102,12
1106,14
1107,12
1110,34
1116,12
1117,12
1119,39
1122,12
1125,12
1128,12
1129,12
1134,14
1136,12
1139,12
1144,12
1151,12
1165,12
1171,12
1174,12
1176,12
1182,12
1184,12
1188,12
1191,12
1202,12
1204,12
1206,12
1212,12
1213,12
1216,12
1220,12
1221,34
1225,34
1233,12
1236,12
1238,12
1244,12
1245,12
1248,12
1249,14
1250,12
1252,34
1254,12
1258,12
1261,34
1264,12
1266,12
1269,12
1270,12
1272,12
1273,12
1283,12
1284,34
1287,12
1288,12
1289,14
1291,14
1293,12
1297,34
1309,12
1311,12
1312,12
1322,12
1323,12
1324,12
1326,12
1331,12
1333,12
1334,12
1338,12
1340,12
1344,12
1345,34
1347,12
1350,14
1352,12
1353,12
1355,12
1361,12
1366,12
1368,12
1369,12
1371,12
1372,12
1382,12
1385,14
1395,12
1398,55
1401,12
1410,12
1415,12
1416,12
1422,12
1423,12
1429,14
1430,12
1436,12
1437,12
1439,14
1442,12
1443,52
1446,12
1449,12
1451,12
1456,34
1457,34
1458,12
1462,34
1469,12
1473,12
1474,14
1476,12
1484,12
1485,12
1487,12
1489,12
1491,14
1494,11
1495,12
1499,12
1502,12
1504,12
1507,12
1509,12
1511,34
1512,12
1513,12
1514,46
1518,12
1534,12
1539,12
1544,12
1545,12
1546,12
1550,12
1553,12
1554,12
1556,14
1558,12
1559,14
1562,12
1563,12
1565,12
1566,12
1571,12
1572,12
1573,12
1581,14
1583,12
1588,52
1590,12
1591,12
1593,34
1600,34
1603,12
1607,12
1609,12
1610,12
1611,14
1624,12
1631,6
1643,12
1650,34
1651,12
1654,12
1656,12
1657,12
1658,12
1664,34
1683,12
1685,12
1689,12
1696,12
1698,14
1700,52
1703,12
1704,12
1710,12
1712,34
1713,12
1714,12
1719,34
1725,12
1734,12
1737,12
1739,34
1742,12
1745,12
1747,12
1748,14
1751,12
1756,12
1768,12
1770,26
1771,12
1779,12
1780,12
1784,12
1785,12
1795,12
1796,12
1799,12
1802,12
1804,12
1805,12
1812,12
1815,12
1822,12
1824,16
1834,34
1835,12
1836,12
1838,12
1839,12
1848,12
1853,14
1859,12
1864,34
1868,12
1871,12
1873,12
1875,12
1880,12
1881,34
1886,12
1904,12
1908,14
1909,34
1913,12
1914,34
1916,12
1917,12
1927,12
1928,12
1933,52
1943,34
1946,12
1949,12
